Date,Amount,Description,Category
2023-12-29,12215.04,Gym Membership,Health
2023-02-18,1907.94,Credit Card EMI,Loans
2023-10-24,698.69,Water Bill,Utilities
2023-12-17,14651.54,Uber Ride,Transport
2023-12-27,43602.72,Monthly Rent Payment,Rent
2023-04-06,3717.94,Train Ticket,Transport
2023-03-23,16504.67,Gaming Subscription,Entertainment
2023-08-28,20782.12,Fuel,Transport
2023-12-01,36706.12,Uber Ride,Transport
2023-07-23,9820.0,Train Ticket,Transport
2023-06-11,29258.56,Monthly Rent Payment,Rent
2023-05-08,46989.53,Hotel Booking,Travel
2023-12-13,9729.54,Uber Ride,Transport
2023-11-10,28914.64,Pharmacy,Health
2023-09-27,5315.09,Electronics,Shopping
2023-02-14,42771.01,Hotel Booking,Travel
2023-03-30,5223.94,Train Ticket,Transport
2023-09-19,10488.66,Fast Food,Food
2023-07-07,34986.88,Mall Purchase,Shopping
2023-11-08,13708.42,Hotel Booking,Travel
2023-06-26,10635.12,Internet Bill,Utilities
2023-05-05,28491.49,Fuel,Transport
2023-07-25,17256.2,Online Shopping,Shopping
2023-05-21,9745.87,Gym Membership,Health
2023-05-13,25722.61,Electronics,Shopping
2023-05-30,27257.28,Movie Tickets,Entertainment
2023-05-28,27327.07,Restaurant,Food
2023-11-30,17510.15,Car Rental,Travel
2023-02-13,40467.07,Train Ticket,Transport
2023-11-07,24877.6,Grocery Store,Groceries
2023-03-03,10427.34,Car Rental,Travel
2023-10-31,36990.58,Coffee Shop,Food
2023-11-06,24809.16,Electricity Bill,Utilities
2023-12-16,27287.49,Mall Purchase,Shopping
2023-03-16,4253.19,Monthly Rent Payment,Rent
2023-09-17,11177.98,Credit Card EMI,Loans
2023-03-23,33238.02,Pharmacy,Health
2023-10-13,42623.68,Restaurant,Food
2023-06-03,49715.18,Fast Food,Food
2023-09-22,27165.4,Hotel Booking,Travel
2023-03-24,24631.64,Electricity Bill,Utilities
2023-03-18,37147.09,Hotel Booking,Travel
2023-07-31,12763.84,Doctor Visit,Health
2023-10-18,33127.92,Coffee Shop,Food
2023-08-09,29374.46,Coffee Shop,Food
2023-08-15,20843.79,Organic Market,Groceries
2023-09-09,23035.93,Movie Tickets,Entertainment
2023-11-19,41984.86,Uber Ride,Transport
2023-04-21,27030.3,Electricity Bill,Utilities
2023-08-02,21199.87,Grocery Store,Groceries
2023-12-07,15556.8,Restaurant,Food
2023-02-12,41576.97,Gym Membership,Health
2023-07-21,16012.27,Pharmacy,Health
2023-12-18,35963.88,Organic Market,Groceries
2023-06-18,19998.99,Flight Ticket,Travel
2023-12-04,44023.9,Online Shopping,Shopping
2023-04-06,3617.76,Restaurant,Food
2023-10-08,32651.05,Monthly Rent Payment,Rent
2023-11-25,46794.11,Doctor Visit,Health
2023-11-06,13231.16,Concert,Entertainment
2023-10-29,34251.32,Electronics,Shopping
2023-04-04,37334.34,Movie Tickets,Entertainment
2023-02-12,11663.54,Monthly Rent Payment,Rent
2023-04-23,37643.52,Gym Membership,Health
2023-05-16,32426.31,Uber Ride,Transport
2023-12-07,4480.38,Gaming Subscription,Entertainment
2023-08-05,41800.99,Flight Ticket,Travel
2023-02-02,48276.67,Electronics,Shopping
2023-03-11,40161.82,Uber Ride,Transport
2023-12-04,2129.15,Water Bill,Utilities
2023-01-04,46713.59,Monthly Rent Payment,Rent
2023-09-28,20824.02,Organic Market,Groceries
2023-03-04,26085.59,Doctor Visit,Health
2023-11-17,48024.89,Flight Ticket,Travel
2023-07-28,32794.72,Pharmacy,Health
2023-07-25,36524.12,Restaurant,Food
2023-08-20,20485.18,Coffee Shop,Food
2023-09-27,5020.26,Supermarket,Groceries
2023-06-07,3015.4,Pharmacy,Health
2023-08-20,38690.92,Restaurant,Food
2023-01-03,3163.9,Online Shopping,Shopping
2023-09-18,47618.6,Mall Purchase,Shopping
2023-01-18,35274.59,Restaurant,Food
2023-01-20,12050.1,Credit Card EMI,Loans
2023-01-25,11803.11,Gym Membership,Health
2023-03-04,14884.08,Credit Card EMI,Loans
2023-08-01,3831.01,Fuel,Transport
2023-04-13,45731.61,Gym Membership,Health
2023-04-19,1364.94,Flight Ticket,Travel
2023-03-21,15675.94,Gaming Subscription,Entertainment
2023-07-25,47647.14,Train Ticket,Transport
2023-07-10,11559.34,Monthly Rent Payment,Rent
2023-02-26,39181.42,Electricity Bill,Utilities
2023-07-17,14071.77,Pharmacy,Health
2023-05-26,17941.86,Flight Ticket,Travel
2023-01-03,21668.97,Monthly Rent Payment,Rent
2023-11-15,42969.43,Coffee Shop,Food
2023-07-21,23730.78,Car Rental,Travel
2023-05-26,1203.15,Fast Food,Food
2023-02-17,11832.67,Monthly Rent Payment,Rent
2023-08-20,19408.73,Monthly Rent Payment,Rent
2023-08-03,15309.79,Concert,Entertainment
2023-11-14,26511.93,Organic Market,Groceries
2023-09-11,45837.16,Fast Food,Food
2023-06-20,17914.62,Car Loan,Loans
2023-08-10,44124.75,Electricity Bill,Utilities
2023-10-24,20184.36,Internet Bill,Utilities
2023-09-04,48839.06,Coffee Shop,Food
2023-06-01,15233.77,Hotel Booking,Travel
2023-02-09,31255.75,Personal Loan EMI,Loans
2023-12-21,12823.93,Car Rental,Travel
2023-12-18,49242.75,Uber Ride,Transport
2023-10-05,21808.15,Online Shopping,Shopping
2023-04-03,28949.86,Monthly Rent Payment,Rent
2023-07-14,42610.9,Train Ticket,Transport
2023-06-08,43462.01,Fast Food,Food
2023-08-01,6882.57,Water Bill,Utilities
2023-10-09,17243.09,Car Loan,Loans
2023-01-23,29554.46,Monthly Rent Payment,Rent
2023-02-21,18310.82,Doctor Visit,Health
2023-12-28,18168.04,Uber Ride,Transport
2023-08-19,33505.54,Monthly Rent Payment,Rent
2023-08-12,28230.68,Car Rental,Travel
2023-02-24,16750.59,Online Shopping,Shopping
2023-08-17,21458.62,Mall Purchase,Shopping
2023-02-16,7597.82,Electronics,Shopping
2023-06-13,31802.92,Pharmacy,Health
2023-12-01,11757.01,Personal Loan EMI,Loans
2023-06-27,41726.81,Train Ticket,Transport
2023-07-22,25319.18,Restaurant,Food
2023-07-12,30916.51,Doctor Visit,Health
2023-11-27,2278.88,Restaurant,Food
2023-02-12,26479.03,Water Bill,Utilities
2023-03-01,5542.15,Car Rental,Travel
2023-08-22,14040.99,Electricity Bill,Utilities
2023-01-03,39396.87,Pharmacy,Health
2023-03-16,5659.71,Credit Card EMI,Loans
2023-06-26,24211.93,Pharmacy,Health
2023-07-17,45755.56,Credit Card EMI,Loans
2023-03-10,43188.05,Flight Ticket,Travel
2023-10-07,1398.65,Gym Membership,Health
2023-03-22,40964.44,Pharmacy,Health
2023-01-24,17186.7,Coffee Shop,Food
2023-12-01,10865.33,Pharmacy,Health
2023-05-05,4805.05,Fast Food,Food
2023-01-20,43465.92,Credit Card EMI,Loans
2023-02-19,45666.92,Gaming Subscription,Entertainment
2023-06-12,7029.73,Mall Purchase,Shopping
2023-05-16,39688.61,Fast Food,Food
2023-09-23,49831.23,Coffee Shop,Food
2023-11-01,8654.99,Grocery Store,Groceries
2023-02-28,45612.13,Water Bill,Utilities
2023-03-09,46717.74,Fast Food,Food
2023-06-19,30327.71,Online Shopping,Shopping
2023-05-28,32866.87,Electricity Bill,Utilities
2023-12-02,13202.74,Restaurant,Food
2023-02-02,11440.97,Uber Ride,Transport
2023-08-23,27170.3,Monthly Rent Payment,Rent
2023-03-30,10318.91,Gym Membership,Health
2023-11-25,1061.81,Car Loan,Loans
2023-02-15,4096.67,Train Ticket,Transport
2023-12-21,42703.52,Uber Ride,Transport
2023-05-07,9560.61,Electronics,Shopping
2023-04-28,37125.84,Restaurant,Food
2023-11-18,36810.55,Personal Loan EMI,Loans
2023-02-23,5117.72,Personal Loan EMI,Loans
2023-03-22,19552.78,Fast Food,Food
2023-06-12,17611.11,Organic Market,Groceries
2023-07-03,956.21,Electricity Bill,Utilities
2023-03-06,6600.32,Gym Membership,Health
2023-01-25,2768.05,Fuel,Transport
2023-08-01,6358.77,Electricity Bill,Utilities
2023-08-12,31805.25,Internet Bill,Utilities
2023-01-30,34847.76,Gaming Subscription,Entertainment
2023-10-20,32060.87,Doctor Visit,Health
2023-11-23,25209.92,Pharmacy,Health
2023-11-04,32667.95,Personal Loan EMI,Loans
2023-05-04,39414.47,Restaurant,Food
2023-05-22,21452.46,Gym Membership,Health
2023-01-05,35225.48,Organic Market,Groceries
2023-08-08,11752.77,Online Shopping,Shopping
2023-03-20,23315.65,Fuel,Transport
2023-08-26,48024.07,Coffee Shop,Food
2023-11-25,1152.04,Credit Card EMI,Loans
2023-01-15,24559.94,Electricity Bill,Utilities
2023-04-26,6601.06,Train Ticket,Transport
2023-09-11,13025.47,Personal Loan EMI,Loans
2023-01-16,4065.34,Organic Market,Groceries
2023-02-15,34274.71,Pharmacy,Health
2023-05-11,40596.63,Credit Card EMI,Loans
2023-07-23,26124.18,Fast Food,Food
2023-04-16,16795.05,Doctor Visit,Health
2023-06-27,16260.77,Online Shopping,Shopping
2023-02-05,12697.7,Mall Purchase,Shopping
2023-04-30,23096.13,Coffee Shop,Food
2023-10-17,13054.62,Movie Tickets,Entertainment
2023-10-08,4764.36,Car Rental,Travel
2023-06-05,10743.83,Train Ticket,Transport
2023-12-22,42061.84,Pharmacy,Health
2023-08-30,32976.09,Credit Card EMI,Loans
2023-07-27,39048.33,Pharmacy,Health
2023-09-27,23228.49,Pharmacy,Health
2023-07-31,37876.38,Electricity Bill,Utilities
2023-07-13,48154.41,Internet Bill,Utilities
2023-08-06,22677.45,Hotel Booking,Travel
2023-03-05,22222.53,Car Rental,Travel
2023-06-28,19102.1,Mall Purchase,Shopping
2023-07-26,16175.15,Coffee Shop,Food
2023-05-31,31526.33,Restaurant,Food
2023-05-01,22180.68,Water Bill,Utilities
2023-03-04,28363.13,Train Ticket,Transport
2023-09-06,38810.64,Internet Bill,Utilities
2023-12-31,17337.97,Monthly Rent Payment,Rent
2023-08-28,44711.29,Coffee Shop,Food
2023-11-25,9346.21,Movie Tickets,Entertainment
2023-05-30,3731.82,Credit Card EMI,Loans
2023-06-15,12801.3,Pharmacy,Health
2023-10-22,33579.85,Credit Card EMI,Loans
2023-03-11,11583.88,Monthly Rent Payment,Rent
2023-05-18,23938.5,Monthly Rent Payment,Rent
2023-09-23,30327.28,Concert,Entertainment
2023-04-23,23634.34,Organic Market,Groceries
2023-05-03,41780.2,Flight Ticket,Travel
2023-08-15,32334.83,Coffee Shop,Food
2023-04-18,36273.24,Organic Market,Groceries
2023-03-02,4318.72,Fast Food,Food
2023-09-01,15483.88,Car Rental,Travel
2023-05-10,39421.93,Flight Ticket,Travel
2023-04-13,27802.79,Monthly Rent Payment,Rent
2023-12-03,32547.66,Coffee Shop,Food
2023-01-28,43919.0,Train Ticket,Transport
2023-02-19,38785.94,Restaurant,Food
2023-04-18,22268.78,Internet Bill,Utilities
2023-03-05,9240.99,Water Bill,Utilities
2023-07-02,27029.35,Monthly Rent Payment,Rent
2023-01-05,23012.57,Doctor Visit,Health
2023-12-03,15920.93,Water Bill,Utilities
2023-12-22,46789.29,Monthly Rent Payment,Rent
2023-04-26,6214.79,Supermarket,Groceries
2023-11-28,33233.48,Gym Membership,Health
2023-12-21,12495.13,Doctor Visit,Health
2023-12-17,11444.41,Restaurant,Food
2023-02-23,14547.12,Credit Card EMI,Loans
2023-01-02,7365.98,Gaming Subscription,Entertainment
2023-08-09,41708.63,Water Bill,Utilities
2023-09-09,42937.04,Pharmacy,Health
2023-04-21,44650.18,Pharmacy,Health
2023-05-04,22955.15,Concert,Entertainment
2023-07-29,44350.05,Uber Ride,Transport
2023-10-19,40649.48,Organic Market,Groceries
2023-12-20,30154.82,Monthly Rent Payment,Rent
2023-01-16,44649.23,Online Shopping,Shopping
2023-08-02,4855.57,Pharmacy,Health
2023-06-02,3458.18,Pharmacy,Health
2023-01-01,12839.31,Personal Loan EMI,Loans
2023-12-24,4006.71,Credit Card EMI,Loans
2023-08-17,46601.98,Pharmacy,Health
2023-01-28,37234.03,Monthly Rent Payment,Rent
2023-09-24,9311.98,Grocery Store,Groceries
2023-06-04,37130.39,Concert,Entertainment
2023-11-25,8633.14,Hotel Booking,Travel
2023-09-03,18516.16,Gaming Subscription,Entertainment
2023-12-09,13727.63,Car Rental,Travel
2023-12-18,29901.4,Water Bill,Utilities
2023-04-23,22832.61,Fast Food,Food
2023-12-20,36639.73,Water Bill,Utilities
2023-10-21,39493.36,Personal Loan EMI,Loans
2023-01-05,34622.08,Electricity Bill,Utilities
2023-02-09,29394.98,Uber Ride,Transport
2023-02-20,4985.55,Monthly Rent Payment,Rent
2023-01-09,10886.41,Internet Bill,Utilities
2023-01-31,37578.48,Credit Card EMI,Loans
2023-03-27,28927.83,Movie Tickets,Entertainment
2023-08-03,19351.28,Fuel,Transport
2023-12-21,28991.07,Flight Ticket,Travel
2023-11-03,35198.8,Fuel,Transport
2023-08-15,16149.48,Restaurant,Food
2023-08-30,7906.78,Coffee Shop,Food
2023-09-24,30346.66,Online Shopping,Shopping
2023-11-14,42753.27,Concert,Entertainment
2023-07-18,39179.47,Fuel,Transport
2023-06-14,12555.59,Movie Tickets,Entertainment
2023-09-25,27697.89,Pharmacy,Health
2023-11-11,34368.97,Credit Card EMI,Loans
2023-02-13,41957.24,Concert,Entertainment
2023-10-26,10792.13,Online Shopping,Shopping
2023-11-10,40104.18,Monthly Rent Payment,Rent
2023-05-01,36903.26,Organic Market,Groceries
2023-05-26,5037.32,Car Loan,Loans
2023-05-01,7647.49,Electricity Bill,Utilities
2023-02-17,43479.0,Uber Ride,Transport
2023-11-15,17695.35,Coffee Shop,Food
2023-11-09,44005.04,Water Bill,Utilities
2023-09-09,24309.0,Train Ticket,Transport
2023-03-13,18787.79,Car Rental,Travel
2023-12-24,46453.27,Supermarket,Groceries
2023-07-11,21595.08,Hotel Booking,Travel
2023-04-19,24286.19,Fuel,Transport
2023-07-31,13032.29,Fuel,Transport
2023-01-21,32946.65,Online Shopping,Shopping
2023-05-02,46751.07,Movie Tickets,Entertainment
2023-03-11,35437.48,Car Loan,Loans
2023-08-10,28087.18,Concert,Entertainment
2023-05-22,40271.08,Fuel,Transport
2023-09-17,3994.6,Car Rental,Travel
2023-11-06,41176.81,Monthly Rent Payment,Rent
2023-05-23,38372.99,Car Loan,Loans
2023-07-13,46733.01,Gym Membership,Health
2023-11-29,46875.75,Car Loan,Loans
2023-03-17,3304.38,Flight Ticket,Travel
2023-05-02,12011.4,Personal Loan EMI,Loans
2023-07-23,43629.84,Hotel Booking,Travel
2023-02-01,45631.2,Personal Loan EMI,Loans
2023-03-11,26521.45,Personal Loan EMI,Loans
2023-06-18,3888.95,Concert,Entertainment
2023-04-03,19371.62,Gym Membership,Health
2023-07-25,14745.09,Fast Food,Food
2023-10-08,28342.15,Pharmacy,Health
2023-05-23,17321.67,Electronics,Shopping
2023-08-15,46589.44,Online Shopping,Shopping
2023-04-23,17739.13,Coffee Shop,Food
2023-01-01,31128.52,Monthly Rent Payment,Rent
2023-09-14,16550.72,Uber Ride,Transport
2023-03-27,7013.73,Flight Ticket,Travel
2023-01-23,23067.95,Coffee Shop,Food
2023-06-25,39345.1,Water Bill,Utilities
2023-08-04,7408.48,Credit Card EMI,Loans
2023-08-10,11954.9,Hotel Booking,Travel
2023-11-08,35378.79,Pharmacy,Health
2023-08-28,11177.24,Flight Ticket,Travel
2023-09-30,5791.07,Flight Ticket,Travel
2023-02-13,44784.37,Supermarket,Groceries
2023-08-09,34680.63,Restaurant,Food
2023-12-26,47215.92,Electronics,Shopping
2023-06-23,48398.32,Car Rental,Travel
2023-06-30,47272.33,Credit Card EMI,Loans
2023-01-02,1725.44,Gaming Subscription,Entertainment
2023-11-08,37267.34,Gaming Subscription,Entertainment
2023-09-15,46000.31,Train Ticket,Transport
2023-01-24,989.41,Monthly Rent Payment,Rent
2023-09-10,7661.37,Online Shopping,Shopping
2023-01-06,48668.5,Monthly Rent Payment,Rent
2023-04-10,20466.84,Pharmacy,Health
2023-07-26,7472.8,Supermarket,Groceries
2023-03-11,17426.58,Monthly Rent Payment,Rent
2023-05-22,16843.21,Train Ticket,Transport
2023-04-14,31477.59,Water Bill,Utilities
2023-08-06,23897.96,Online Shopping,Shopping
2023-10-06,38598.17,Gym Membership,Health
2023-11-28,5802.01,Online Shopping,Shopping
2023-08-31,4931.5,Movie Tickets,Entertainment
2023-06-09,24304.27,Car Rental,Travel
2023-06-11,33409.18,Restaurant,Food
2023-01-02,10108.05,Electricity Bill,Utilities
2023-09-02,48746.81,Monthly Rent Payment,Rent
2023-04-27,29887.36,Supermarket,Groceries
2023-02-11,4309.31,Supermarket,Groceries
2023-08-15,1547.16,Gaming Subscription,Entertainment
2023-04-29,5401.78,Pharmacy,Health
2023-04-16,49414.97,Internet Bill,Utilities
2023-05-18,23068.01,Internet Bill,Utilities
2023-03-01,14195.84,Mall Purchase,Shopping
2023-06-01,28946.71,Pharmacy,Health
2023-03-05,9532.0,Car Rental,Travel
2023-08-09,23203.36,Electronics,Shopping
2023-11-16,20197.59,Fuel,Transport
2023-08-27,2484.88,Fast Food,Food
2023-05-11,43599.22,Fast Food,Food
2023-03-25,39048.05,Monthly Rent Payment,Rent
2023-10-05,2054.21,Personal Loan EMI,Loans
2023-05-10,7102.29,Monthly Rent Payment,Rent
2023-09-06,24972.04,Doctor Visit,Health
2023-07-18,13190.65,Personal Loan EMI,Loans
2023-01-10,25835.67,Water Bill,Utilities
2023-12-19,14588.75,Car Loan,Loans
2023-08-03,45417.03,Supermarket,Groceries
2023-01-22,42008.99,Gym Membership,Health
2023-12-26,19694.12,Fast Food,Food
2023-02-01,40628.04,Pharmacy,Health
2023-04-16,26863.02,Hotel Booking,Travel
2023-09-11,3067.37,Car Rental,Travel
2023-06-26,30142.77,Movie Tickets,Entertainment
2023-08-24,42554.03,Concert,Entertainment
2023-05-22,3427.53,Credit Card EMI,Loans
2023-10-06,641.62,Water Bill,Utilities
2023-05-06,27154.3,Hotel Booking,Travel
2023-05-13,6595.19,Fast Food,Food
2023-09-23,40075.04,Doctor Visit,Health
2023-01-13,3633.36,Train Ticket,Transport
2023-08-11,40125.66,Restaurant,Food
2023-12-04,4444.75,Organic Market,Groceries
2023-03-14,45162.71,Monthly Rent Payment,Rent
2023-09-28,37966.7,Hotel Booking,Travel
2023-02-11,5239.31,Car Rental,Travel
2023-08-22,22433.16,Online Shopping,Shopping
2023-11-28,33400.32,Online Shopping,Shopping
2023-11-26,27461.97,Car Loan,Loans
2023-01-30,13826.6,Online Shopping,Shopping
2023-07-27,9955.16,Flight Ticket,Travel
2023-08-01,20581.12,Water Bill,Utilities
2023-10-17,18834.2,Coffee Shop,Food
2023-12-15,46989.3,Uber Ride,Transport
2023-01-20,44715.73,Credit Card EMI,Loans
2023-10-07,41569.76,Car Rental,Travel
2023-12-04,39657.95,Monthly Rent Payment,Rent
2023-06-13,20352.74,Flight Ticket,Travel
2023-10-01,21525.9,Online Shopping,Shopping
2023-07-22,18172.71,Fuel,Transport
2023-01-12,5703.39,Mall Purchase,Shopping
2023-04-17,44994.48,Coffee Shop,Food
2023-10-03,47130.09,Coffee Shop,Food
2023-07-31,20860.63,Electronics,Shopping
2023-08-24,19958.69,Concert,Entertainment
2023-05-23,9815.5,Doctor Visit,Health
2023-01-07,16935.62,Grocery Store,Groceries
2023-02-06,31876.72,Uber Ride,Transport
2023-02-01,17538.58,Coffee Shop,Food
2023-03-19,18658.36,Monthly Rent Payment,Rent
2023-03-18,47573.86,Grocery Store,Groceries
2023-11-05,38784.91,Monthly Rent Payment,Rent
2023-12-31,29385.65,Doctor Visit,Health
2023-11-03,30463.97,Credit Card EMI,Loans
2023-03-09,20922.68,Credit Card EMI,Loans
2023-12-10,42417.55,Restaurant,Food
2023-09-28,39854.2,Monthly Rent Payment,Rent
2023-12-28,24223.89,Gaming Subscription,Entertainment
2023-03-27,35999.92,Uber Ride,Transport
2023-05-19,10217.01,Coffee Shop,Food
2023-10-29,28391.48,Gym Membership,Health
2023-09-28,32164.55,Flight Ticket,Travel
2023-12-03,41091.35,Fast Food,Food
2023-03-29,49287.95,Flight Ticket,Travel
2023-11-21,8096.05,Supermarket,Groceries
2023-01-12,41723.17,Mall Purchase,Shopping
2023-03-24,5090.93,Monthly Rent Payment,Rent
2023-03-20,29374.57,Electronics,Shopping
2023-05-03,49302.16,Train Ticket,Transport
2023-08-09,29441.46,Online Shopping,Shopping
2023-03-06,16575.7,Flight Ticket,Travel
2023-08-11,46948.67,Train Ticket,Transport
2023-11-12,31271.07,Car Rental,Travel
2023-06-02,6057.64,Fuel,Transport
2023-10-11,1768.75,Water Bill,Utilities
2023-06-15,30510.85,Car Rental,Travel
2023-05-02,34656.18,Fast Food,Food
2023-02-21,23716.1,Monthly Rent Payment,Rent
2023-09-23,640.13,Monthly Rent Payment,Rent
2023-10-22,39924.28,Fast Food,Food
2023-02-12,37930.06,Water Bill,Utilities
2023-02-07,2238.45,Hotel Booking,Travel
2023-06-14,44046.96,Water Bill,Utilities
2023-07-07,23035.41,Fast Food,Food
2023-04-11,40441.92,Personal Loan EMI,Loans
2023-09-04,24762.81,Pharmacy,Health
2023-03-18,12969.9,Pharmacy,Health
2023-03-01,43069.36,Fuel,Transport
2023-04-14,28405.8,Monthly Rent Payment,Rent
2023-08-28,37548.43,Gym Membership,Health
2023-08-04,29889.61,Organic Market,Groceries
2023-02-06,40504.0,Uber Ride,Transport
2023-11-22,32587.31,Concert,Entertainment
2023-06-18,23607.61,Pharmacy,Health
2023-07-13,34346.15,Car Loan,Loans
2023-08-08,45948.32,Mall Purchase,Shopping
2023-07-02,48521.82,Gaming Subscription,Entertainment
2023-07-11,47201.01,Organic Market,Groceries
2023-11-09,11080.93,Hotel Booking,Travel
2023-05-14,10043.9,Hotel Booking,Travel
2023-12-30,2974.4,Coffee Shop,Food
2023-04-21,49386.84,Coffee Shop,Food
2023-09-25,45615.72,Car Rental,Travel
2023-01-05,4729.85,Car Rental,Travel
2023-10-27,10044.62,Fast Food,Food
2023-06-17,41448.4,Personal Loan EMI,Loans
2023-01-15,40520.76,Online Shopping,Shopping
2023-07-07,30467.44,Electronics,Shopping
2023-04-12,4157.45,Supermarket,Groceries
2023-12-10,17819.01,Pharmacy,Health
2023-10-22,49369.94,Supermarket,Groceries
2023-07-30,38698.46,Personal Loan EMI,Loans
2023-12-29,18028.63,Fuel,Transport
2023-01-06,23255.42,Train Ticket,Transport
2023-10-31,8597.9,Electronics,Shopping
2023-08-01,45992.8,Restaurant,Food
2023-06-24,7452.85,Monthly Rent Payment,Rent
2023-08-06,23912.44,Grocery Store,Groceries
2023-01-18,23762.62,Gym Membership,Health
2023-06-23,13196.78,Monthly Rent Payment,Rent
2023-07-03,2288.4,Personal Loan EMI,Loans
2023-10-29,19687.63,Restaurant,Food
2023-08-25,13374.26,Supermarket,Groceries
2023-12-18,20269.89,Coffee Shop,Food
2023-07-09,7871.67,Credit Card EMI,Loans
2023-02-10,22664.84,Doctor Visit,Health
2023-02-13,29036.22,Movie Tickets,Entertainment
2023-12-04,37993.06,Pharmacy,Health
2023-02-20,20892.06,Supermarket,Groceries
2023-03-28,23444.01,Grocery Store,Groceries
2023-06-18,24474.03,Monthly Rent Payment,Rent
2023-09-13,34146.49,Movie Tickets,Entertainment
2023-08-06,6727.04,Car Rental,Travel
2023-03-15,35622.39,Movie Tickets,Entertainment
2023-03-23,36827.17,Credit Card EMI,Loans
2023-08-03,15489.05,Organic Market,Groceries
2023-12-09,14115.03,Monthly Rent Payment,Rent
2023-02-05,16001.99,Organic Market,Groceries
2023-12-11,10878.47,Electronics,Shopping
2023-06-13,1483.8,Electricity Bill,Utilities
2023-09-28,38593.75,Hotel Booking,Travel
2023-12-23,49730.24,Credit Card EMI,Loans
2023-06-18,7850.6,Coffee Shop,Food
2023-07-25,25678.07,Gym Membership,Health
2023-05-16,26212.61,Grocery Store,Groceries
2023-03-22,39673.27,Electricity Bill,Utilities
2023-07-18,12788.92,Pharmacy,Health
2023-11-07,18297.09,Concert,Entertainment
2023-08-21,8828.18,Movie Tickets,Entertainment
2023-01-29,17660.5,Water Bill,Utilities
2023-07-11,9274.99,Supermarket,Groceries
2023-11-22,21079.3,Gaming Subscription,Entertainment
2023-02-28,42351.6,Electricity Bill,Utilities
2023-05-06,28374.37,Restaurant,Food
2023-12-14,47394.29,Online Shopping,Shopping
2023-07-11,16651.25,Car Rental,Travel
2023-04-24,33981.91,Car Loan,Loans
2023-04-09,24162.63,Monthly Rent Payment,Rent
2023-01-26,39213.6,Pharmacy,Health
2023-06-10,23046.67,Monthly Rent Payment,Rent
2023-03-18,20186.32,Concert,Entertainment
2023-03-17,27671.43,Hotel Booking,Travel
2023-05-08,32241.12,Gym Membership,Health
2023-12-17,20514.31,Monthly Rent Payment,Rent
2023-04-04,29000.5,Mall Purchase,Shopping
2023-05-20,27855.89,Internet Bill,Utilities
2023-06-12,40726.61,Uber Ride,Transport
2023-09-01,2850.98,Hotel Booking,Travel
2023-08-02,32895.83,Supermarket,Groceries
2023-03-04,20862.31,Doctor Visit,Health
2023-10-20,35851.6,Train Ticket,Transport
2023-03-17,23936.28,Monthly Rent Payment,Rent
2023-05-12,14095.91,Monthly Rent Payment,Rent
2023-06-24,32941.74,Monthly Rent Payment,Rent
2023-08-14,5533.43,Pharmacy,Health
2023-01-02,9937.38,Train Ticket,Transport
2023-10-10,13171.7,Water Bill,Utilities
2023-06-15,12371.2,Flight Ticket,Travel
2023-01-07,38108.83,Train Ticket,Transport
2023-05-04,25462.17,Grocery Store,Groceries
2023-09-03,18233.36,Fuel,Transport
2023-06-10,48516.46,Personal Loan EMI,Loans
2023-04-08,9011.08,Gym Membership,Health
2023-10-10,11048.06,Personal Loan EMI,Loans
2023-05-07,30801.77,Mall Purchase,Shopping
